Name,State,Latitude,Longitude,Population
Beaupré,Canada,47.05,-70.883333,5287
Nicolet,Canada,46.216667,-72.6,5257
Walkerton,Canada,44.133333,-81.15,5250
Devon,Canada,53.366667,-113.733333,5225
Brighton,Canada,44.033333,-77.733333,5152
Acton Vale,Canada,45.633333,-72.566667,5135
Amqui,Canada,48.466667,-67.433333,5117
Tottenham,Canada,44.016667,-79.8,5101
Westlock,Canada,54.15,-113.866667,5067
Blenheim,Canada,42.333333,-82,5065
Woodstock,Canada,46.15,-67.566667,5032
Fernie,Canada,49.5,-115.066667,5019
Antigonish,Canada,45.616667,-61.966667,5003
Mackenzie,Canada,55.33,-123.09,4978
Pont-Rouge,Canada,46.75,-71.7,4978
Rawdon,Canada,46.033333,-73.7,4978
Laurentides,Canada,45.85,-73.766667,4922
Almonte,Canada,45.216667,-76.2,4921
Saint-Sauveur-des-Monts,Canada,45.9,-74.166667,4869
Tilbury,Canada,42.25,-82.433333,4858
Mount Forest,Canada,43.966667,-80.733333,4842
Humboldt,Canada,52.2,-105.116667,4822
Picton,Canada,44.016667,-77.15,4820
Creston,Canada,49.1,-116.516667,4816
Meaford,Canada,44.6,-80.583333,4816
Hearst,Canada,49.7,-83.666667,4746
Shediac,Canada,46.216667,-64.533333,4735
Exeter,Canada,43.35,-81.483333,4702
Espanola,Canada,46.25,-81.766667,4682
Lac-Mégantic,Canada,45.583333,-70.883333,4658
Oliver,Canada,49.183333,-119.55,4647
Port Hardy,Canada,50.716667,-127.5,4628
Marathon,Canada,48.75,-86.366667,4627
Grand Bank,Canada,47.1,-55.783333,4623
Caraquet,Canada,47.783333,-64.95,4620
Hope,Canada,49.383333,-121.433333,4598
Marystown,Canada,47.166667,-55.166667,4558
Saint Stephen,Canada,45.2,-67.266667,4518
Baie-Saint-Paul,Canada,47.433333,-70.5,4512
Beauceville,Canada,46.2,-70.766667,4480
Prescott,Canada,44.716667,-75.516667,4466
La Malbaie,Canada,47.65,-70.166667,4447
Barrhead,Canada,54.116667,-114.4,4430
Mitchell,Canada,43.466667,-81.183333,4416
Berthierville,Canada,46.083333,-73.166667,4411
Cochrane,Canada,49.066667,-81.016667,4407
Shelburne,Canada,44.066667,-80.2,4390
Osoyoos,Canada,49.033333,-119.466667,4314
Deep River,Canada,46.166667,-77.566667,4296
Meadow Lake,Canada,54.129722,-108.434722,4281
Melville,Canada,50.933333,-102.8,4279
Armstrong,Canada,50.45,-119.183333,4275
Kindersley,Canada,51.466667,-109.133333,4249
Maniwaki,Canada,46.366667,-75.966667,4236
Iroquois Falls,Canada,48.766667,-80.666667,4232
Kemptville,Canada,45.016667,-75.633333,4229
Delhi,Canada,42.85,-80.5,4227
Channel-Port aux Basques,Canada,47.566667,-59.15,4220
Grand Forks,Canada,49.05,-118.466667,4208
Fort Nelson,Canada,58.816667,-122.533333,4207
Swan River,Canada,52.1,-101.266667,4198
Saint-Rémi,Canada,45.25,-73.6,4192
Stonewall,Canada,50.133333,-97.316667,4177
Deer Lake,Canada,49.183333,-57.433333,4163
Vermilion,Canada,53.35,-110.85,4151
Dalhousie,Canada,48.066667,-66.366667,4137
Didsbury,Canada,51.666667,-114.133333,4134
Stayner,Canada,44.416667,-80.083333,4104
Waterloo,Canada,45.35,-72.516667,4064
Sussex,Canada,45.716667,-65.516667,4048
Princeville,Canada,46.166667,-71.883333,4041
Golden,Canada,51.3,-116.966667,4038
Verchères,Canada,45.766667,-73.35,4030
Saint-Jovite,Canada,46.116667,-74.583333,4020
Nipawin,Canada,53.366667,-104.016667,3994
Saint-Augustin,Canada,51.233333,-58.65,3961
Springhill,Canada,45.633333,-64.05,3940
Jasper,Canada,52.883333,-118.083333,3907
Campbellford,Canada,44.3,-77.8,3882
Windsor,Canada,44.983333,-64.133333,3864
Pincher Creek,Canada,49.483333,-113.95,3855
Ayr,Canada,43.283333,-80.45,3841
Claresholm,Canada,50.033333,-113.583333,3808
Fruitvale,Canada,49.116667,-117.55,3790
Atikokan,Canada,48.75,-91.616667,3760
Pictou,Canada,45.666667,-62.7,3732
Sioux Lookout,Canada,50.1,-91.916667,3730
Malartic,Canada,48.133333,-78.116667,3710
Trois-Pistoles,Canada,48.116667,-69.166667,3695
Capreol,Canada,46.7,-80.916667,3666
Black Diamond,Canada,50.7,-114.233333,3663
Bonavista,Canada,48.633333,-53.1,3658
Cardston,Canada,49.2,-113.316667,3654
East Angus,Canada,45.483333,-71.666667,3634
High Level,Canada,58.516667,-117.133333,3621
Rossland,Canada,49.083333,-117.816667,3619
Altona,Canada,49.1,-97.566667,3613
Chestermere,Canada,51.03,-113.83,3590
Contrecoeur,Canada,45.85,-73.233333,3587
Forestville,Canada,48.733333,-69.066667,3570
Saint-Raymond,Canada,46.883333,-71.833333,3570
Port Hawkesbury,Canada,45.6,-61.35,3564
Alexandria,Canada,45.3,-74.633333,3559
Southampton,Canada,44.5,-81.366667,3549
Ridgetown,Canada,42.433333,-81.883333,3547
Wolfville,Canada,45.083333,-64.366667,3523
Smithville,Canada,43.1,-79.533333,3504
Richmond,Canada,45.666667,-72.15,3485
Richmond,Canada,45.183333,-75.833333,3472
Wawa,Canada,48,-84.783333,3463
Raymond,Canada,49.466667,-112.666667,3365
Warwick,Canada,45.95,-71.983333,3340
Gaspé,Canada,48.833333,-64.483333,3331
Fairview,Canada,56.066667,-118.4,3312
Clinton,Canada,43.6,-81.533333,3292
Warman,Canada,52.316667,-106.566667,3252
Beaverton,Canada,44.433333,-79.15,3237
Virden,Canada,49.85,-100.933333,3237
Senneterre,Canada,48.4,-77.25,3228
Sainte-Julienne,Canada,45.966667,-73.716667,3211
Blackfalds,Canada,52.383333,-113.8,3198
Saint-Césaire,Canada,45.4,-73,3175
Saint-Félix-de-Valois,Canada,46.166667,-73.416667,3165
Neepawa,Canada,50.233333,-99.45,3151
Hanna,Canada,51.633333,-111.916667,3140
Napierville,Canada,45.183333,-73.4,3124
Manitouwadge,Canada,49.133333,-85.8,3115
Harrow,Canada,42.033333,-82.916667,3100
