City,State,Lat,Long,Pop
Hénin-Beaumont,France,50.413587,2.964852,24725
Oyonnax,France,46.250567,5.659845,24712
Vernon,France,49.092918,1.463324,24688
Coudekerque-Branche,France,51.022884,2.393586,24669
Décines-Charpieu,France,45.768991,4.972767,24661
Montigny-lès-Metz,France,49.094353,6.151673,24655
Ris-Orangis,France,48.651104,2.414057,24628
Grigny,France,48.659982,2.384137,24600
Cherbourg,France,49.639971,-1.615505,24435
Sucy-en-Brie,France,48.768716,2.534738,24354
Fresnes,France,48.757423,2.321484,24335
Torcy,France,48.854483,2.650567,24189
Dole,France,47.092847,5.493003,24186
Romainville,France,48.8854,2.434819,24158
Herblay,France,48.989935,2.169902,24116
Orvault,France,47.270949,-1.621902,24080
Fontaine,France,45.198394,5.682654,23869
Hérouville-Saint-Clair,France,49.210875,-0.30653,23792
Fontenay-aux-Roses,France,48.793253,2.29275,23784
Eaubonne,France,48.997124,2.282494,23739
Bois-Colombes,France,48.919363,2.274845,23663
Villeparisis,France,48.94208,2.61463,23557
Montfermeil,France,48.898203,2.579128,23484
Sarreguemines,France,49.113579,7.072387,23427
Brunoy,France,48.694204,2.492233,23418
Miramas,France,43.586663,5.00464,23354
Brétigny-sur-Orge,France,48.61892,2.309158,23336
Le Bouscat,France,44.866002,-0.59411,23331
Blagnac,France,43.632759,1.393986,23313
Rodez,France,44.35237,2.572616,23268
Saint-Pol-sur-Mer,France,51.03116,2.339835,23205
Lisieux,France,49.147664,0.226625,23100
La Madeleine,France,50.660329,3.071575,23098
Sèvres,France,48.822916,2.217569,22993
Villeneuve-sur-Lot,France,44.4071,0.705603,22933
Muret,France,43.465874,1.327316,22819
La Valette-du-Var,France,43.137413,5.983139,22816
Gif-sur-Yvette,France,48.683333,2.133333,22774
Gradignan,France,44.772615,-0.613931,22760
Grande-Synthe,France,51.015397,2.299748,22738
Mons-en-Baroeul,France,50.636925,3.110259,22710
Saint-Dié,France,48.281037,6.959461,22682
Bègles,France,44.808446,-0.548086,22658
Beaune,France,47.02441,4.838925,22573
Libourne,France,44.916667,-0.233333,22514
Étampes,France,48.433046,2.175806,22399
Mont-Saint-Aignan,France,49.463073,1.093637,22380
Le Petit-Quevilly,France,49.413384,1.06155,22373
Ozoir-la-Ferrière,France,48.766993,2.668712,22320
Montgeron,France,48.705431,2.45039,22319
Achères,France,48.961155,2.068824,22282
Hazebrouck,France,50.723741,2.537292,22109
Combs-la-Ville,France,48.664967,2.569571,22067
Lanester,France,47.761319,-3.339652,22065
Maisons-Laffitte,France,48.952636,2.145207,22006
Agde,France,43.310991,3.47534,21950
Le Plessis-Robinson,France,48.788887,2.270778,21931
Vertou,France,47.16869,-1.469294,21897
Le Mée-sur-Seine,France,48.531566,2.628287,21861
Fougères,France,48.350305,-1.194229,21710
Villeneuve-la-Garenne,France,48.939354,2.31478,21557
Frontignan,France,43.448478,3.753997,21511
Cormeilles-en-Parisis,France,48.971112,2.204912,21487
Cenon,France,44.8559,-0.51839,21483
Lormont,France,44.874949,-0.517819,21437
Moulins,France,46.566667,3.333333,21425
Fécamp,France,49.756728,0.372873,21300
Deuil-la-Barre,France,48.976743,2.327222,21233
Auch,France,43.645401,0.587933,21221
Millau,France,44.098553,3.080528,21215
Sainte-Foy-lès-Lyon,France,45.73692,4.796883,21206
Loos,France,50.609823,3.018743,21167
Allauch,France,43.335552,5.482769,21156
La Celle-Saint-Cloud,France,48.85029,2.145234,21069
Croix,France,50.678464,3.149304,21062
Fleury-les-Aubrais,France,47.933276,1.918111,20981
Forbach,France,49.185575,6.891406,20938
Roissy-en-Brie,France,48.791594,2.64747,20799
Voiron,France,45.363948,5.592093,20795
Denain,France,50.329295,3.394298,20736
Montmorency,France,48.988258,2.343398,20723
Olivet,France,47.862194,1.8991,20579
Sceaux,France,48.776442,2.290258,20564
Gardanne,France,43.454638,5.469878,20541
Saint-Mandé,France,48.838642,2.415791,20516
Les Lilas,France,48.879918,2.420573,20499
Vélizy-Villacoublay,France,48.781981,2.193947,20426
Saint-Michel-sur-Orge,France,48.634788,2.30831,20413
Saint-Louis,France,47.588364,7.562469,20387
Cahors,France,44.454598,1.43924,20336
Longjumeau,France,48.695029,2.307355,20301
Vauréal,France,49.033333,2.033333,20250
Concarneau,France,47.875019,-3.922449,20178
Manosque,France,43.832871,5.783948,20170
Annecy-le-Vieux,France,45.919715,6.143929,20103
Halluin,France,50.786277,3.126114,20075
Lunéville,France,48.591172,6.495426,20017
Sedan,France,49.70022,4.948389,19997
Eysines,France,44.883522,-0.646859,19925
Orly,France,48.747921,2.392525,19830
Dax,France,43.706102,-1.053855,19827
Maurepas,France,48.764859,1.92923,19817
Saint-Genis-Laval,France,45.695582,4.793397,19668
Mantes-la-Ville,France,48.973736,1.702529,19639
Chevilly-Larue,France,48.76476,2.350297,19630
Cognac,France,45.7,-0.333333,19585
Meylan,France,45.219879,5.790074,19569
Morsang-sur-Orge,France,48.661805,2.353385,19567
Pertuis,France,43.69252,5.502854,19530
Saint-Gratien,France,48.973497,2.287287,19521
Hem,France,50.656636,3.189708,19497
Lannion,France,48.732445,-3.459116,19495
Saint-Lô,France,49.113813,-1.081905,19411
Montceau-les-Mines,France,46.666667,4.366667,19375
Les Pavillons-sous-Bois,France,48.90683,2.506483,19309
Nogent-sur-Oise,France,49.271579,2.470741,19184
Villefontaine,France,45.612505,5.145577,19076
Verdun,France,49.158146,5.388608,19048
Wasquehal,France,50.670426,3.133819,19030
Couëron,France,47.215077,-1.721712,19016
Saint-Jean-de-Braye,France,47.913029,1.977047,18949
Ploemeur,France,47.733333,-3.433333,18944
Sanary-sur-Mer,France,43.117835,5.800065,18928
Cluses,France,46.064816,6.588355,18907
