City,State,Latitude,Longitude,Population
Buynaksk,Russia,42.819001,47.119197,62690
Belebey,Russia,54.116667,54.116667,62583
Rzhev,Russia,56.262413,34.328168,62247
Zarechnyy,Russia,53.133333,46.583333,62139
Tikhvin,Russia,59.645107,33.529372,62076
Petrodvorets,Russia,59.87966,29.90257,61974
Labinsk,Russia,44.634167,40.735556,61946
Iskitim,Russia,54.6122,83.4006,61828
Revda,Russia,56.800968,59.930278,61786
Lobnya,Russia,56.009722,37.481944,61772
Salsk,Russia,46.4455,41.6149,61703
Vyksa,Russia,55.3175,42.174444,61665
Arsenyev,Russia,44.163056,133.273333,61620
Dmitrov,Russia,56.35,37.516667,61608
Sibay,Russia,52.718056,58.665833,61591
Apatity,Russia,67.564142,33.4031,61187
Novoaltaysk,Russia,53.3917,83.9363,61051
Svobodnyy,Russia,51.381667,128.122222,61018
Stupino,Russia,54.900833,38.070833,61000
Shuya,Russia,56.848649,41.38833,60705
Bor,Russia,56.358078,44.074772,60648
Dubna,Russia,56.733333,37.166667,60605
Pavlovskiy Posad,Russia,55.780713,38.654475,60052
Mikhaylovka,Russia,50.06,43.2379,59993
Mikhaylovsk,Russia,45.128333,42.025556,59198
Kotlas,Russia,61.257452,46.649634,59181
Verkhnyaya Pyshma,Russia,56.970468,60.582186,59062
Talnakh,Russia,69.4865,88.3972,59052
Solnechnogorsk,Russia,56.183333,36.983333,58892
Volzhsk,Russia,55.866383,48.359404,58608
Uzlovaya,Russia,53.981789,38.17118,58458
Krymsk,Russia,44.929336,37.991166,57556
Cheremkhovo,Russia,53.156111,103.0675,57395
Vyazma,Russia,55.210391,34.295076,57192
Roslavl,Russia,53.952778,32.863889,56972
Borovichi,Russia,58.387779,33.915463,56572
Kirishi,Russia,59.447119,32.020494,56191
Georgiu-Dezh,Russia,50.984053,39.515447,55940
Nazarovo,Russia,56.0104,90.4011,55253
Klimovsk,Russia,55.363521,37.529841,55207
Gorno-Altaysk,Russia,51.956111,85.955,54917
Belorechensk,Russia,44.767329,39.874236,54527
Krasnokamensk,Russia,50.0661,118.1481,54317
Severomorsk,Russia,69.068886,33.416218,53921
Domodedovo,Russia,55.4413,37.75367,53888
Buguruslan,Russia,53.6554,52.442,53512
Livny,Russia,52.425344,37.606888,52916
Yartsevo,Russia,55.066667,32.696389,52706
Krasnokamsk,Russia,58.080158,55.75411,52690
Lesnoy,Russia,58.636667,59.802222,52322
Fryazino,Russia,55.960556,38.045556,52256
Zarinsk,Russia,53.7074,84.9493,52210
Nyagan,Russia,62.140556,65.393611,52138
Kimry,Russia,56.866667,37.35,52071
Vidnoye,Russia,55.552387,37.709665,51722
Tulun,Russia,54.4837,100.7418,51331
Ivanteyevka,Russia,55.971111,37.920833,51086
Gelendzhik,Russia,44.5622,38.0848,50715
Lytkarino,Russia,55.582711,37.905162,50620
Kingisepp,Russia,59.373314,28.613433,50567
Kizlyar,Russia,43.847118,46.714446,50565
Chusovoy,Russia,58.3013,57.8131,50205
Spassk-Dalniy,Russia,44.597778,132.821111,50186
Otradnyy,Russia,53.375957,51.345197,50127
Chelyabinsk-70,Russia,56.085,60.731389,50086
Sayanogorsk,Russia,53.0875,91.399722,49940
Kanash,Russia,55.509618,47.491266,49886
Monchegorsk,Russia,67.939722,32.873889,49869
Satka,Russia,55.0425,59.04,49384
Verkhnyaya Salda,Russia,58.048742,60.559493,48993
Osinniki,Russia,53.6239,87.3598,48920
Megion,Russia,61.0296,76.1136,48691
Torzhok,Russia,57.043595,34.962207,48547
Vsevolozhsk,Russia,60.020433,30.63716,48224
Ust-Kut,Russia,56.7938,105.7672,48203
Donetsk,Russia,48.333722,39.94776,47829
Kurganinsk,Russia,44.88,40.598611,47682
Mtsensk,Russia,53.276567,36.573337,47610
Belaya Kalitva,Russia,48.185853,40.774244,47521
Shelekhov,Russia,52.213889,104.1,47459
Gryazi,Russia,52.496573,39.935932,47414
Kurchatov,Russia,51.6601,35.6521,47319
Mozhga,Russia,56.374511,52.255426,47271
Kolchugino,Russia,56.299293,39.383036,47080
Safonovo,Russia,55.110867,33.232917,46638
Chebarkul,Russia,54.9749,60.3633,46503
Amursk,Russia,50.226111,136.899444,46383
Malgobek,Russia,43.51118,44.588211,46340
Nadym,Russia,65.533333,72.516667,46339
Pechora,Russia,65.147165,57.224392,46113
Rasskazovo,Russia,52.655986,41.88461,45957
Volkhov,Russia,59.819014,32.367159,45673
Yefremov,Russia,53.14806,38.099235,45498
Sayansk,Russia,54.1088,102.1648,45476
Kanevskaya,Russia,46.0849,38.9596,45334
Shebekino,Russia,50.409671,36.913602,45194
Chernyakhovsk,Russia,54.63345,21.815566,45188
Usinsk,Russia,65.950714,57.46847,44875
Strezhevoy,Russia,60.7333,77.5889,44784
Kamen-na-Obi,Russia,53.7884,81.3423,44564
Akhtubinsk,Russia,48.279548,46.172167,44552
Krasnyy Sulin,Russia,47.892208,40.070367,44134
Ust-Labinsk,Russia,45.214355,39.690334,44089
Myski,Russia,53.709,87.8014,44082
Rtishchevo,Russia,52.260412,43.78745,44014
Kachkanar,Russia,58.699988,59.49482,43984
Tutayev,Russia,57.885293,39.540597,43828
Mozdok,Russia,43.743593,44.651769,43779
Zavolzhye,Russia,56.640511,43.394458,43700
Pashkovskiy,Russia,45.024396,39.106788,43634
Sertolovo,Russia,60.144399,30.201649,43626
Pereslavl-Zalesskiy,Russia,56.739341,38.856259,43490
Morshansk,Russia,53.44354,41.81065,43312
Sovetsk,Russia,55.08392,21.878514,43310
Krasnoye Selo,Russia,59.738333,30.089444,43134
Krasnoufimsk,Russia,56.605854,57.766856,43122
Mariinsk,Russia,56.213889,87.747222,43122
Kronshtadt,Russia,59.99541,29.766679,42987
Chernenko,Russia,55.540278,89.200833,42778
Koryazhma,Russia,61.31433,47.169136,42628
Novozybkov,Russia,52.5396,31.9275,42572
Partizansk,Russia,43.125833,133.133889,42490
Konakovo,Russia,56.7,36.766667,42240
Sokol,Russia,59.461667,40.120556,42174
Izberbash,Russia,42.569554,47.864471,42122
Zainsk,Russia,55.2827,52.0007,42045
Pervomayskiy,Russia,64.4165,40.8122,41998
Lesozavodsk,Russia,45.479444,133.424444,41779
Korenovsk,Russia,45.468993,39.451364,41666
Irbit,Russia,57.670525,63.071,41647
Uryupinsk,Russia,50.8047,42.0138,41645
Kyshtym,Russia,55.714,60.5528,41625
Gay,Russia,51.4666,58.4552,41620
Urus-Martan,Russia,43.130527,45.537908,41480
Lyudinovo,Russia,53.866389,34.447778,41392
Zelenokumsk,Russia,44.406944,43.880556,41307
Sestroretsk,Russia,60.098015,29.963781,41281
Dzerzhinskiy,Russia,55.629448,37.856545,41146
Birsk,Russia,55.421111,55.542778,41015
Kamenka,Russia,53.181389,44.049444,40974
Frolovo,Russia,49.771326,43.662221,40882
Yelizovo,Russia,53.1873,158.3805,40692
Apsheronsk,Russia,44.464722,39.734167,40452
Mirnyy,Russia,62.535278,113.961111,40309
Tosno,Russia,59.54,30.8775,40198
Izobilnyy,Russia,45.370922,41.708387,40122
Luga,Russia,58.737222,29.845278,40115
Kashira,Russia,54.844444,38.166944,40084
Korkino,Russia,54.8913,61.3969,40047
Uray,Russia,60.124722,64.775833,39879
Alekseyevka,Russia,50.6309,38.6903,39849
Svetlograd,Russia,45.335278,42.854722,39727
Vyatskiye Polyany,Russia,56.226018,51.065573,39535
Tavda,Russia,58.042537,65.272583,39480
Kirov,Russia,54.066863,34.29955,39319
Vyazniki,Russia,56.240566,42.155629,39244
Rezh,Russia,57.3174,61.3355,39217
Muravlenko,Russia,63.783333,73.5,39137
Vichuga,Russia,57.212758,41.930117,39072
Aksay,Russia,47.258381,39.866746,38871
Yuzhnouralsk,Russia,54.4418,61.2536,38745
Nizhneudinsk,Russia,54.9076,99.0276,38724
Leningradskaya,Russia,46.3214,39.3877,38712
Millerovo,Russia,48.922653,40.396732,38528
Dalnegorsk,Russia,44.5558,135.5674,38454
Kandalaksha,Russia,67.162002,32.412287,38432
Inta,Russia,66.083333,60.133333,38403
Furmanov,Russia,57.253632,41.108488,38381
Salekhard,Russia,66.53,66.601944,38026
Tayshet,Russia,55.9342,98.0044,37767
Uglich,Russia,57.5275,38.331667,37733
Kulebaki,Russia,55.413333,42.5325,37623
Baksan,Russia,43.688056,43.536944,37520
Bolshoy Kamen,Russia,43.1225,132.358333,37480
Novovoronezh,Russia,51.307193,39.217316,37392
Tynda,Russia,55.166667,124.716667,37336
Protvino,Russia,54.868205,37.215835,37330
Dobryanka,Russia,58.461954,56.416455,36972
Lomonosov,Russia,59.906121,29.772528,36778
Bogorodsk,Russia,56.105135,43.512939,36652
Serdobsk,Russia,52.458607,44.216892,36652
