City,State,Latitude,Longitude,Pop
Neuruppin,Germany,52.933333,12.8,32173
Lampertheim,Germany,49.601944,8.471944,31873
Lohmar,Germany,50.833333,7.216667,31802
Kreuztal,Germany,50.966667,7.983333,31720
Osterholz-Scharmbeck,Germany,53.233333,8.8,31469
Herrenberg,Germany,48.6,8.866667,31401
Ganderkesee,Germany,53.033333,8.533333,31262
Deggendorf,Germany,48.833333,12.966667,31146
Merzig,Germany,49.45,6.633333,31141
Cloppenburg,Germany,52.85,8.033333,31030
Bad Vilbel,Germany,50.183333,8.75,30933
Güstrow,Germany,53.8,12.166667,30869
Forchheim,Germany,49.723056,11.066944,30838
Ahrensburg,Germany,53.683333,10.25,30797
Kornwestheim,Germany,48.866667,9.183333,30756
Northeim,Germany,51.7,10,30751
Delbrück,Germany,51.766667,8.566667,30699
Bad Hersfeld,Germany,50.866667,9.7,30630
Tönisvorst,Germany,51.316667,6.45,30579
Oer-Erkenschwick,Germany,51.633333,7.25,30474
Schwelm,Germany,51.283333,7.283333,30470
Radolfzell,Germany,47.733333,8.966667,30385
Bad Nauheim,Germany,50.366667,8.75,30369
Burgdorf,Germany,52.45,10.016667,30288
Springe,Germany,52.216667,9.55,30284
Vechta,Germany,52.716667,8.283333,30178
Waltrop,Germany,51.633333,7.4,30150
Achim,Germany,53.033333,9.016667,30117
Naumburg,Germany,51.15,11.816667,30040
Wegberg,Germany,51.15,6.266667,29931
Geesthacht,Germany,53.433333,10.366667,29853
Gaggenau,Germany,48.8,8.333333,29800
Emmerich,Germany,51.833333,6.25,29753
Sundern,Germany,51.333333,8,29648
Oelde,Germany,51.816667,8.15,29608
Zeitz,Germany,51.05,12.15,29582
Friedberg,Germany,48.35,10.983333,29581
Taunusstein,Germany,50.15,8.15,29461
Bühl,Germany,48.7,8.15,29434
Haan,Germany,51.2,7,29369
Wetter,Germany,51.383333,7.4,29328
Vaihingen,Germany,48.933333,8.966667,29284
Andernach,Germany,50.433333,7.4,29089
Warstein,Germany,51.45,8.366667,29029
Rendsburg,Germany,54.3,9.666667,28814
Senftenberg,Germany,51.516667,14.016667,28812
Bretten,Germany,49.039167,8.702778,28774
Bramsche,Germany,52.4,7.983333,28773
Köthen,Germany,51.75,11.966667,28700
Rietberg,Germany,51.783333,8.433333,28683
Burg,Germany,52.266667,11.85,28602
Geilenkirchen,Germany,50.966667,6.116667,28587
Spremberg,Germany,51.55,14.366667,28444
Baunatal,Germany,51.25,9.416667,28338
Heiligenhaus,Germany,51.316667,6.966667,28312
Plettenberg,Germany,51.216667,7.883333,28247
