City,Country,Lat,Long,Pop
Camaquã,Brazil,-30.85,-51.816667,53170
Crateús,Brazil,-5.166667,-40.666667,52934
Manacapuru,Brazil,-3.3,-60.616667,52460
Andradina,Brazil,-20.9,-51.383333,52407
Barra do Garças,Brazil,-15.883333,-52.25,52402
Cascavel,Brazil,-4.116667,-38.233333,52357
Biguaçu,Brazil,-27.5,-48.666667,51993
Batatais,Brazil,-20.883333,-47.616667,51977
Rio do Sul,Brazil,-27.2181,-49.6436,51945
Pirapora,Brazil,-17.35,-44.933333,51657
Mirassol,Brazil,-20.766667,-49.466667,51559
Içara,Brazil,-28.7,-49.3,51455
Bezerros,Brazil,-8.233333,-35.75,51437
Serra Talhada,Brazil,-7.983333,-38.3,51204
Horizonte,Brazil,-4.083333,-38.483333,51181
Nova Serrana,Brazil,-19.866667,-44.983333,51103
Rolândia,Brazil,-23.3,-51.366667,51005
Marechal Deodoro,Brazil,-9.716667,-35.9,50579
São Roque,Brazil,-23.528458,-47.135273,50541
Coari,Brazil,-4.109444,-63.138889,50491
Taquaritinga,Brazil,-21.4,-48.5,50099
Belo Jardim,Brazil,-8.333333,-36.433333,49923
Benevides,Brazil,-1.366667,-48.25,49813
Nova Odessa,Brazil,-22.783333,-47.3,49433
Quixadá,Brazil,-4.966667,-39.016667,49328
Pedro Leopoldo,Brazil,-19.633333,-44.05,49262
Pôrto Ferreira,Brazil,-21.85,-47.466667,49128
Camboriú,Brazil,-26.983333,-48.633333,49101
Serrinha,Brazil,-11.65,-39,49079
Ibitinga,Brazil,-21.75,-48.816667,49075
Barra do Corda,Brazil,-5.5,-45.25,48902
Congonhas,Brazil,-20.5,-43.866667,48819
Boituva,Brazil,-23.283333,-47.683333,48756
União da Victoria,Brazil,-26.216667,-51.083333,48741
Floriano,Brazil,-6.783333,-43.016667,48588
Parobé,Brazil,-29.633333,-50.833333,48560
Senhor do Bonfim,Brazil,-10.45,-40.183333,48472
Ponte Nova,Brazil,-20.4,-42.9,48188
Escada,Brazil,-8.366667,-35.233333,48084
Taquara,Brazil,-29.65,-50.783333,48052
Sousa,Brazil,-6.75,-38.233333,47927
Guaxupé,Brazil,-21.3,-46.7,47890
Goianésia,Brazil,-15.3,-49.116667,47884
Cruz das Almas,Brazil,-12.666667,-39.1,47846
Navegantes,Brazil,-26.9,-48.65,47782
Cosmópolis,Brazil,-22.633333,-47.2,47773
Capanema,Brazil,-1.2,-47.183333,47768
Jacobina,Brazil,-11.183333,-40.516667,47639
Itamaraju,Brazil,-17.066667,-39.533333,47630
Itaberaba,Brazil,-12.533333,-40.3,47303
São José do Rio Pardo,Brazil,-21.6,-46.9,46990
Santo Amaro,Brazil,-12.533333,-38.716667,46749
Leopoldina,Brazil,-21.533333,-42.633333,46743
Rio das Ostras,Brazil,-22.533333,-41.95,46619
Santiago,Brazil,-29.183333,-54.883333,46612
Breves,Brazil,-1.666667,-50.483333,46474
Cachoeiras de Macacu,Brazil,-22.466667,-42.65,46178
Itacoatiara,Brazil,-3.05,-58.433333,45995
Mongaguá,Brazil,-24.1,-46.616667,45931
Irati,Brazil,-25.4735,-50.6524,45831
Registro,Brazil,-24.5,-47.833333,45698
Tianguá,Brazil,-3.733333,-40.983333,45697
Cruzeiro do Sul,Brazil,-7.633333,-72.6,45517
Lagarto,Brazil,-10.9,-37.683333,45446
Moreno,Brazil,-8.116667,-35.1,45238
Mariana,Brazil,-20.383333,-43.416667,45237
Cametá,Brazil,-2.25,-49.5,45202
Olímpia,Brazil,-20.733333,-48.9,45200
Timbaúba,Brazil,-7.516667,-35.316667,45122
Cornélio Procópio,Brazil,-23.133333,-50.65,45031
Tefé,Brazil,-3.366667,-64.7,44943
Piripiri,Brazil,-4.266667,-41.783333,44866
Itararé,Brazil,-24.116667,-49.333333,44810
Ibiporã,Brazil,-23.283333,-51.05,44791
Orlândia,Brazil,-20.716667,-47.883333,44767
Camocim,Brazil,-2.89,-40.846111,44482
Mairinque,Brazil,-23.544368,-47.183467,44457
Indaial,Brazil,-26.8922,-49.2239,44360
Aracati,Brazil,-4.566667,-37.766667,44294
Inhumas,Brazil,-16.366667,-49.5,44058
Monte Carmelo,Brazil,-18.716667,-47.483333,44041
Goiana,Brazil,-7.55,-34.983333,43981
Cajàzeiras,Brazil,-6.9,-38.566667,43914
Jales,Brazil,-20.266667,-50.55,43832
Guarabira,Brazil,-6.85,-35.483333,43750
Três Pontas,Brazil,-21.366667,-45.516667,43750
Imbituba,Brazil,-28.233333,-48.666667,43450
Araranguá,Brazil,-28.933333,-49.483333,43445
Lagoa da Prata,Brazil,-20.016667,-45.55,43119
Marechal Cândido Rondon,Brazil,-24.566667,-54.066667,43028
Canindé,Brazil,-4.366667,-39.316667,42721
São Joaquim da Barra,Brazil,-20.583333,-47.883333,42720
Videira,Brazil,-27,-51.133333,42441
Limoeiro,Brazil,-7.866667,-35.45,42329
Salgueiro,Brazil,-8.066667,-39.1,42153
Penedo,Brazil,-10.283333,-36.6,42099
Castro,Brazil,-24.783333,-50,42092
Brumado,Brazil,-14.216667,-41.666667,41990
Rio Negrinho,Brazil,-26.239449,-49.499857,41915
Pesqueira,Brazil,-8.366667,-36.7,41896
Monte Alto,Brazil,-21.283333,-48.483333,41894
Palmares,Brazil,-8.683333,-35.6,41680
Santos Dumont,Brazil,-21.466667,-43.566667,41582
Pacajus,Brazil,-4.166667,-38.466667,41558
Jaguaquara,Brazil,-13.533333,-39.966667,41499
Amparo,Brazil,-22.7,-46.783333,41498
Garça,Brazil,-22.233333,-49.616667,41303
União dos Palmares,Brazil,-9.166667,-36.033333,41179
Piraquara,Brazil,-25.433333,-49.066667,41162
São Lourenço,Brazil,-22.116667,-45.05,41144
Porto Feliz,Brazil,-23.213333,-47.523056,41016
Salinópolis,Brazil,-0.616667,-47.333333,40999
Frutal,Brazil,-20.033333,-48.916667,40931
São Miguel dos Campos,Brazil,-9.783333,-36.083333,40891
Porto Nacional,Brazil,-10.708056,-48.308333,40862
Chapadinha,Brazil,-3.733333,-43.35,40805
Bom Jesus da Lapa,Brazil,-13.25,-43.416667,40693
Venâncio Aires,Brazil,-29.6,-52.183333,40628
Alta Floresta,Brazil,-9.9,-55.9,40468
Artur Nogueira,Brazil,-22.583333,-47.15,40404
Estância Velha,Brazil,-29.65,-51.183333,40391
Bom Despacho,Brazil,-19.716667,-45.25,40304
Monte Mor,Brazil,-22.95,-47.333333,40291
Mafra,Brazil,-26.1181,-49.8023,40081
Macaíba,Brazil,-5.716667,-35.55,40016
Catu,Brazil,-12.35,-38.383333,39933
Serrana,Brazil,-21.233333,-47.6,39826
Laguna,Brazil,-28.483333,-48.783333,39712
Russas,Brazil,-4.933333,-37.966667,39465
Itabirito,Brazil,-20.2484,-43.8063,39453
Santa Isabel do Pará,Brazil,-1.266667,-48.183333,39284
Pedreira,Brazil,-22.716667,-46.916667,39199
Palmas,Brazil,-26.5,-52,39150
Paraguaçu Paulista,Brazil,-22.416667,-50.566667,39120
Mineiros,Brazil,-17.566667,-52.566667,38951
