City,State,Lat,Long,Pop
Amés,Spain,42.9,-8.633333,18960
Manlleu,Spain,42.002284,2.28476,18944
Arahal,Spain,37.262727,-5.545297,18847
Guadix,Spain,37.299324,-3.13922,18814
Tomares,Spain,37.372807,-6.04589,18796
Lora del Río,Spain,37.658961,-5.52751,18761
Conil,Spain,36.277194,-6.088497,18644
Calatayud,Spain,41.353534,-1.643184,18623
Altea,Spain,38.599844,-0.050217,18588
Nerja,Spain,36.750498,-3.873931,18536
Hernani,Spain,43.264057,-1.978942,18482
Callosa de Segura,Spain,38.123647,-0.877392,18465
San Pedro del Pinatar,Spain,37.83399,-0.791974,18460
Monforte de Lemos,Spain,42.522226,-7.514324,18451
Marchena,Spain,37.329,-5.416815,18319
Vícar,Spain,36.83181,-2.642391,18315
Los Barrios,Spain,36.184704,-5.489539,18314
Manzanares,Spain,38.999149,-3.369911,18306
Almonte,Spain,37.261589,-6.51691,18280
Moaña,Spain,42.283333,-8.75,18244
Las Torres de Cotillas,Spain,38.027933,-1.244291,18208
Alhama de Murcia,Spain,37.851027,-1.425066,18060
Ubrique,Spain,36.677775,-5.446004,17961
Boiro,Spain,42.65,-8.9,17916
Tolosa,Spain,43.137037,-2.075728,17830
Bailén,Spain,38.096386,-3.777855,17660
Algete,Spain,40.597109,-3.49743,17554
Daimiel,Spain,39.07004,-3.614978,17466
Chipiona,Spain,36.736628,-6.437033,17400
Oria,Spain,43.255304,-2.019831,17378
Silla,Spain,39.366667,-0.416667,17303
Osuna,Spain,37.237651,-5.107465,17290
Mairena del Alcor,Spain,37.373014,-5.749515,17263
Torrelodones,Spain,40.57466,-3.925302,17214
Felanitx,Spain,39.471912,3.15082,17187
Maracena,Spain,37.208244,-3.633508,17085
Ayamonte,Spain,37.209938,-7.402661,17026
Bermeo,Spain,43.420416,-2.724232,16904
Palamós,Spain,41.84843,3.129121,16874
Güimar,Spain,28.3039,-16.432545,16772
El Viso del Alcor,Spain,37.391063,-5.719934,16762
Ermúa,Spain,43.1879,-2.503497,16761
Navalmoral de la Mata,Spain,39.891585,-5.540639,16752
Castilleja de la Cuesta,Spain,37.385937,-6.052577,16672
Ciempozuelos,Spain,40.156067,-3.616453,16606
Ejea de los Caballeros,Spain,42.126324,-1.137158,16586
Archena,Spain,38.116312,-1.300426,16563
Pozoblanco,Spain,38.379061,-4.848268,16534
Guía de Isora,Spain,28.208587,-16.789471,16454
Nigrán,Spain,42.147784,-8.801099,16432
Almoradí,Spain,38.108786,-0.791966,16415
Navalcarnero,Spain,40.289078,-4.011966,16396
Bétera,Spain,39.583333,-0.45,16267
Huércal-Overa,Spain,37.388968,-1.945362,16204
Tarifa,Spain,36.01393,-5.606949,16179
Mula,Spain,38.040945,-1.490138,16172
Benavente,Spain,42.002491,-5.678255,16159
La Unión,Spain,37.619154,-0.877993,16095
Salou,Spain,41.076036,1.139829,16075
Cehegín,Spain,38.092913,-1.797605,15959
Armilla,Spain,37.142181,-3.624931,15934
Berga,Spain,42.098215,1.844004,15860
Candelaria,Spain,28.3548,-16.372684,15647
Teo,Spain,42.75,-8.5,15623
Moguer,Spain,37.275593,-6.838507,15606
Cártama,Spain,36.711591,-4.630105,15604
Barbastro,Spain,42.035573,0.127019,15598
Malgrat de Mar,Spain,41.646217,2.741505,15524
Monzón,Spain,41.913584,0.194091,15461
La Solana,Spain,38.944216,-3.238096,15374
Calafell,Spain,41.187937,1.569665,15325
Montijo,Spain,38.908388,-6.617854,15199
Zafra,Spain,38.416667,-6.416667,15199
Carlet,Spain,39.233333,-0.516667,15173
Baeza,Spain,37.993839,-3.471029,15149
Béjar,Spain,40.386411,-5.763406,15008
Sant Just Desvern,Spain,41.383333,2.083333,14987
Pilar de la Horadada,Spain,37.863021,-0.791864,14874
La Carolina,Spain,38.275591,-3.615345,14836
Calella,Spain,41.618024,2.667809,14797
El Astillero,Spain,43.400942,-3.820511,14710
Fene,Spain,43.45,-8.15,14633
La Roda,Spain,39.216667,-2.15,14535
Berja,Spain,36.847369,-2.946839,14526
Alcudia,Spain,39.853605,3.122404,14436
Aller,Spain,43.16148,-5.623441,14428
San Lorenzo de El Escorial,Spain,40.593993,-4.144851,14422
Albolote,Spain,37.230062,-3.655454,14355
Laviana,Spain,43.245385,-5.562896,14321
Arnedo,Spain,42.226301,-2.101386,14299
Balaguer,Spain,41.791172,0.810942,14207
San Bartolomé,Spain,29.001726,-13.611669,14185
Andoain,Spain,43.220711,-2.020336,13961
Tías,Spain,28.961076,-13.645021,13957
Montornés del Vallés,Spain,41.540328,2.26524,13904
Alcañiz,Spain,41.05,-0.133333,13884
Pinos Puente,Spain,37.251095,-3.749671,13884
Arenys de Mar,Spain,41.581905,2.549358,13869
Azpeitia,Spain,43.18143,-2.263527,13854
Cartaya,Spain,37.281136,-7.150706,13854
Abarán,Spain,38.205507,-1.399072,13850
Cardedeu,Spain,41.639757,2.357387,13822
Villaviciosa,Spain,43.480936,-5.435249,13750
Torredonjimeno,Spain,37.767478,-3.957762,13701
Tárrega,Spain,41.648983,1.1396,13663
Cambados,Spain,42.512806,-8.814421,13653
Alora,Spain,36.82389,-4.705908,13644
Canals,Spain,38.962507,-0.584431,13569
